pot,plot,Date,height,diameter
1,3,21/01/13,40.1,2.8
3,6,21/01/13,46.9,3
5,4,21/01/13,38.2,3
6,2,21/01/13,45.3,2.8
6,7,21/01/13,37.2,2.4
8,1,21/01/13,41.2,2.8
8,5,21/01/13,38.4,2.5
1,1,21/01/13,48,3.2
2,4,21/01/13,44.3,3
3,5,21/01/13,44.5,2.7
4,7,21/01/13,52.4,3.2
5,6,21/01/13,43,2.6
6,3,21/01/13,45.4,3.3
8,2,21/01/13,44.2,3.2
1,7,21/01/13,42.5,3.3
2,1,21/01/13,43.4,3.6
2,2,21/01/13,46.7,2.8
4,5,21/01/13,45.1,2.7
6,4,21/01/13,53.4,3.9
6,6,21/01/13,51.6,2.9
7,3,21/01/13,32.7,2.3
1,2,21/01/13,49.1,2.8
4,1,21/01/13,39.5,2.8
4,3,21/01/13,40.4,2.6
4,6,21/01/13,40,2.7
5,5,21/01/13,46.9,2.9
5,7,21/01/13,40.8,2.6
7,4,21/01/13,42.6,2.6
1,4,21/01/13,37.2,3.2
2,5,21/01/13,45.5,3.3
3,3,21/01/13,44,3
3,7,21/01/13,46.4,2.4
4,2,21/01/13,55.6,3.5
6,1,21/01/13,46.1,2.8
7,6,21/01/13,43,3.4
1,6,21/01/13,48.2,3.2
4,4,21/01/13,43.3,2.7
5,3,21/01/13,40.2,2.6
7,1,21/01/13,41,2.8
7,2,21/01/13,35,2.6
7,5,21/01/13,45.1,2.7
8,7,21/01/13,41.7,2.3
2,3,21/01/13,43.3,3
2,7,21/01/13,44.8,2.2
3,2,21/01/13,37.1,2.8
5,1,21/01/13,37.8,2.8
6,5,21/01/13,43.3,2.6
8,4,21/01/13,40,2.4
8,6,21/01/13,36,2.4
1,3,29/01/13,41.4,3.1
3,6,29/01/13,49.5,3.4
5,4,29/01/13,43.1,3.2
6,2,29/01/13,47.2,3.7
6,7,29/01/13,39.5,3.1
8,1,29/01/13,44.2,3.5
8,5,29/01/13,38.9,2.6
1,1,29/01/13,49.1,3.5
2,4,29/01/13,47.2,3.5
3,5,29/01/13,45.6,2.7
4,7,29/01/13,52.9,3.6
5,6,29/01/13,44.5,3.2
6,3,29/01/13,46.6,4
8,2,29/01/13,46.5,3.3
1,7,29/01/13,43.9,3.4
2,1,29/01/13,43.8,3.7
2,2,29/01/13,49.2,3.1
4,5,29/01/13,48.2,3.2
6,4,29/01/13,54,4.6
6,6,29/01/13,51.9,3.6
7,3,29/01/13,33.3,2.6
1,2,29/01/13,47.9,3.2
4,1,29/01/13,41,3.1
4,3,29/01/13,42.3,2.9
4,6,29/01/13,41.1,3
