DateTime,chamber,T_treatment,Tree_number,Position_in_chamber,Diameter15,Plant_height,1st_order_branches,Total_leaf_number,Leaf_area,Leaf_freshmass,Stem_freshmass,Branch_freshmass,Root_freshmass1,Root_freshmass2,Leaf_drymass,Stem_drymass,Branch_drymass,Root_drymass1,Root_drymass2,comments
2015-12-16,C01,ambient,44,2,4.33,56,12,207,1220.089,27.392,6.359,6.296,25.74,,9.193,2.345,2.342,7.263,,No RootLO weight as cleaned completely
2015-12-16,C01,ambient,58,5,3.67,74,15,171,964.058,24.395,5.742,6.543,26.44,,7.113,1.961,2.29,5.083,,No RootLO weight as cleaned completely
2015-12-16,C01,ambient,60,1,4.04,76,11,139,1198.41,36.504,6.792,6.049,33.93,,9.103,2.609,2.298,7.653,,No RootLO weight as cleaned completely
2015-12-16,C02,elevated,14,1,3.89,72,14,152,1114.738,31.876,6.062,4.848,22.86,8.42,7.923,2.253,1.849,4.763,1.825,
2015-12-16,C02,elevated,42,5,3.21,50,12,120,530.064,16.666,2.823,2.469,23.57,8.1,5.473,1.069,0.948,4.143,1.945,
2015-12-16,C02,elevated,49,4,3.66,61,13,151,847.823,18.72,4.365,3.979,30.19,13.69,5.963,1.647,1.482,5.113,3.025,FW - Roots still wet
2015-12-16,C03,ambient,8,2,4.14,81,16,173,1122.613,24.549,7.554,6.309,30.89,13.95,8.223,2.7,2.319,4.963,2.715,FW - Roots still wet
2015-12-16,C03,ambient,40,1,4.30,71,13,177,1526.044,29.926,7.121,6.031,26.9,16.44,9.903,2.738,2.308,5.243,3.425,
2015-12-16,C03,ambient,46,4,3.71,60,14,132,943.959,26.302,5.05,3.606,26.69,17.61,6.063,1.587,1.179,3.823,3.195,
2015-12-16,C04,elevated,13,1,4.03,57,16,218,1003.129,27.417,5.495,5.116,28.29,11.93,8.983,1.988,1.805,4.853,2.715,
2015-12-16,C04,elevated,35,6,3.05,49,4,50,366.443,12.188,3.054,1.088,21.7,11.55,3.951,0.957,0.299,3.403,2.375,
2015-12-16,C04,elevated,61,5,3.12,47,7,71,392.884,14.34,3.297,1.807,23.59,13.72,4.431,1.161,0.657,3.673,3.135,FW - Roots still wet
2015-12-16,C04,elevated,66,2,3.52,52,10,87,546.5,15.094,4.378,2.666,27.337,,5.723,1.553,0.983,6.071,,harvest on 14th dec after planting as growing tip not great - Roots washed from soil dug from ground. No RootLO weight as cleaned completely
2015-12-16,C05,ambient,52,5,3.68,55,10,145,837.945,19.575,4.251,3.955,24.28,9.33,6.293,1.464,1.313,3.373,1.665,
2015-12-16,C05,ambient,54,4,4.55,61,9,191,1257.08,30.372,6.964,6.351,33.13,9.65,9.423,2.142,2.305,4.773,1.905,
2015-12-16,C05,ambient,55,2,4.25,67,15,132,1161.826,27.773,7.014,4.553,33.16,11.8,10.203,2.581,1.73,5.133,2.405,
