"chamber","position","T_treatment","bark_FM","bark_FV","bark_DM","bark_density"
"C01","low","ambient",11.382,10.839,3.6326,0.335141618
"C01","mid","ambient",3.169,2.819,1.1849,0.420326357
"C01","top","ambient",2.435,2.175,0.9279,0.42662069
"C02","low","elevated",8.334,8.14,2.3693,0.291068796
"C02","mid","elevated",3.871,3.534,1.2748,0.360724392
"C02","top","elevated",2.638,2.439,0.9166,0.375809758
"C03","low","ambient",9.433,8.732,2.6959,0.308737975
"C03","mid","ambient",3.353,3.013,1.132,0.375705277
"C03","top","ambient",2.65,2.436,0.9126,0.374630542
"C04","low","elevated",5.115,4.761,1.7413,0.365742491
"C04","mid","elevated",4.474,4.177,1.5251,0.365118506
"C04","top","elevated",1.707,1.552,0.5964,0.384278351
"C05","low","ambient",4.681,4.4,1.4258,0.324045455
"C05","mid","ambient",1.979,1.828,0.6975,0.381564551
"C05","top","ambient",2.521,2.304,0.9971,0.432769097
"C06","low","elevated",3.674,3.328,1.2277,0.36890024
"C06","mid","elevated",1.805,1.654,0.6065,0.36668682
"C06","top","elevated",1.349,1.207,0.4705,0.389809445
"C07","low","ambient",2.081,1.902,0.6821,0.358622503
"C07","mid","ambient",2.251,2.031,0.871,0.428852782
"C07","top","ambient",1.077,0.969,0.415,0.428276574
"C08","low","elevated",9.053,8.247,2.8826,0.349533164
"C08","mid","elevated",3.35,2.974,1.1177,0.375823806
"C08","top","elevated",1.094,0.961,0.3867,0.40239334
"C09","low","ambient",8.754,8.095,2.5639,0.316726374
"C09","mid","ambient",2.173,1.995,0.6732,0.337443609
"C09","top","ambient",1.044,0.978,0.352,0.3599182
"C10","low","elevated",6.71,6.322,1.8706,0.295887377
"C10","mid","elevated",3.778,3.594,1.2177,0.338814691
"C10","top","elevated",1.984,1.936,0.718,0.370867769
"C11","low","ambient",8.439,7.745,2.8566,0.368831504
"C11","mid","ambient",2.372,2.121,0.9455,0.445780292
"C11","top","ambient",1.421,1.256,0.5972,0.475477707
"C12","low","elevated",9.125,8.444,2.663,0.315371862
"C12","mid","elevated",5.147,4.676,1.7017,0.363922156
"C12","top","elevated",2.61,2.361,0.8787,0.372172808
