"chamber","branch","br.height","br.diameter","leafsize"
"C01",5,61,4.3,25.9
"C01",5,61,4.3,31.9
"C01",5,61,4.3,40.8
"C01",5,61,4.3,34.1
"C01",5,61,4.3,27.8
"C01",5,61,4.3,25.4
"C01",9,80,4.62,48.9
"C01",9,80,4.62,31.2
"C01",9,80,4.62,19.4
"C01",9,80,4.62,15.9
"C01",9,80,4.62,26
"C01",9,80,4.62,17.1
"C01",9,80,4.62,14.4
"C01",9,80,4.62,32.3
"C01",9,80,4.62,28.2
"C01",13,95,3.8,17.3
"C01",13,95,3.8,24.7
"C01",13,95,3.8,26
"C01",13,95,3.8,7.2
"C01",13,95,3.8,23.1
"C01",13,95,3.8,14.5
"C01",13,95,3.8,16.9
"C01",13,95,3.8,12.6
"C01",13,95,3.8,9.1
"C01",17,113,4,20.3
"C01",17,113,4,35.6
"C01",17,113,4,37.2
"C01",17,113,4,22.8
"C01",17,113,4,21.4
"C01",17,113,4,16.7
"C01",17,113,4,19.3
"C01",17,113,4,25.7
"C01",17,113,4,40.8
"C01",17,113,4,19.6
"C01",17,113,4,20.3
"C01",21,132.5,4.99,27.2
"C01",21,132.5,4.99,45.5
"C01",21,132.5,4.99,43
"C01",21,132.5,4.99,42.4
"C01",21,132.5,4.99,25.4
"C01",21,132.5,4.99,13.9
"C01",21,132.5,4.99,24.4
"C01",21,132.5,4.99,26
"C01",21,132.5,4.99,26.5
"C01",21,132.5,4.99,15.8
"C01",25,151,5.54,42
"C01",25,151,5.54,26.3
"C01",25,151,5.54,22.9
"C01",25,151,5.54,30.2
"C01",25,151,5.54,24.1
"C01",25,151,5.54,32.1
"C01",25,151,5.54,20.3
"C01",25,151,5.54,25.7
"C01",25,151,5.54,26.7
"C01",25,151,5.54,26.9
"C01",29,166,4.74,11.6
"C01",29,166,4.74,6.8
"C01",29,166,4.74,15.5
"C01",29,166,4.74,18.4
"C01",29,166,4.74,26.8
"C01",29,166,4.74,35.4
"C01",29,166,4.74,36.5
"C01",29,166,4.74,34.5
"C01",29,166,4.74,13.1
"C01",29,166,4.74,21.1
"C01",33,196,4.24,8
"C01",33,196,4.24,17.2
"C01",33,196,4.24,27.7
"C01",33,196,4.24,40
"C01",33,196,4.24,33.7
"C01",33,196,4.24,35.2
"C01",33,196,4.24,27
"C01",33,196,4.24,25.4
"C01",33,196,4.24,23.4
"C01",33,196,4.24,18.4
"C01",37,214,4.16,33.4
"C01",37,214,4.16,8.1
"C01",37,214,4.16,9.8
"C01",37,214,4.16,27.2
"C01",37,214,4.16,22.7
"C01",37,214,4.16,38.9
"C01",37,214,4.16,29.5
"C01",37,214,4.16,33.7
"C01",37,214,4.16,26.4
"C01",37,214,4.16,20.4
"C01",45,257,2,25.1
"C02",5,55.5,2.82,18
"C02",5,55.5,2.82,15
"C02",5,55.5,2.82,21.1
"C02",5,55.5,2.82,18.8
"C02",5,55.5,2.82,10.4
"C02",5,55.5,2.82,16.8
"C02",5,55.5,2.82,23
"C02",5,55.5,2.82,26
"C02",5,55.5,2.82,22.6
"C02",5,55.5,2.82,25.6
"C02",10,74,3.16,15.9
"C02",10,74,3.16,17.3
"C02",10,74,3.16,26
"C02",10,74,3.16,19.4
"C02",10,74,3.16,30.7
"C02",10,74,3.16,27.3
"C02",10,74,3.16,22.2
"C02",10,74,3.16,10.8
"C02",10,74,3.16,25.9
"C02",15,98,3.03,17.2
"C02",15,98,3.03,16.7
"C02",15,98,3.03,14.6
"C02",15,98,3.03,30.7
"C02",15,98,3.03,14
"C02",15,98,3.03,27.8
"C02",15,98,3.03,36.3
"C02",15,98,3.03,37.1
"C02",15,98,3.03,35.6
"C02",15,98,3.03,41.5
"C02",15,98,3.03,18.1
"C02",23,132,2.96,11.9
"C02",23,132,2.96,21
"C02",23,132,2.96,14.1
"C02",23,132,2.96,37.6
"C02",23,132,2.96,49.5
"C02",23,132,2.96,51.4
"C02",23,132,2.96,38.1
"C02",23,132,2.96,39.9
"C02",23,132,2.96,23.1
"C02",23,132,2.96,11.3
"C02",28,165,3.44,21.6
"C02",28,165,3.44,23.7
"C02",28,165,3.44,31.1
"C02",28,165,3.44,11
"C02",28,165,3.44,35.8
"C02",28,165,3.44,40
"C02",28,165,3.44,40.9
"C02",28,165,3.44,40.2
"C02",28,165,3.44,31.4
"C02",28,165,3.44,28.5
"C02",34,174,6.05,27
"C02",34,174,6.05,45.2
"C02",34,174,6.05,27
"C02",34,174,6.05,26.3
"C02",34,174,6.05,47.2
"C02",34,174,6.05,22.8
