"","chamber","branch","leaves"
"1","C01",1,0
"2","C01",2,0
"3","C01",3,0
"4","C01",4,0
"5","C01",5,13
"6","C01",6,36
"7","C01",7,38
"8","C01",8,9
"9","C01",9,43
"10","C01",10,33
"11","C01",11,38
"12","C01",12,56
"13","C01",13,54
"14","C01",14,28
"15","C01",15,46
"16","C01",16,49
"17","C01",17,40
"18","C01",18,38
"19","C01",19,39
"20","C01",20,75
"21","C01",21,48
"22","C01",22,36
"23","C01",23,75
"24","C01",24,29
"25","C01",25,31
"26","C01",26,34
"27","C01",27,32
"28","C01",28,45
"29","C01",29,30
"30","C01",30,39
"31","C01",31,32
"32","C01",32,35
"33","C01",33,37
"34","C01",34,36
"35","C01",35,29
"36","C01",36,37
"37","C01",37,33
"38","C01",38,37
"39","C01",39,47
"40","C01",40,38
"41","C01",41,31
"42","C01",42,60
"43","C01",43,29
"44","C01",44,43
"45","C01",45,32
"46","C01",46,24
"47","C01",47,22
"48","C01",48,29
"49","C01",49,23
"50","C01",50,57
"51","C01",51,26
"52","C01",52,33
"53","C01",53,98
"54","C01",54,59
"55","C01",55,34
"56","C01",56,30
"57","C01",57,41
"58","C01",58,22
"59","C01",59,25
"60","C01",60,36
"61","C01",61,50
"62","C01",62,25
"63","C01",63,54
"64","C01",64,33
"65","C01",65,74
"66","C01",66,95
"67","C01",67,39
"68","C01",68,159
"69","C01",69,26
"70","C01",70,39
"71","C01",71,22
"72","C01",72,134
"73","C01",73,35
"74","C01",74,119
"75","C01",75,59
"76","C01",76,35
"77","C01",77,56
"78","C01",78,47
"79","C01",79,63
"80","C01",80,182
"81","C01",81,180
"82","C01",82,158
"83","C01",83,111
"84","C01",84,68
"85","C01",85,79
"86","C01",86,35
"87","C01",87,28
"88","C01",88,70
"89","C01",89,30
"90","C01",90,37
"91","C01",91,51
"92","C01",92,72
"93","C01",93,63
"94","C01",94,66
"95","C01",95,47
"96","C01",96,45
"97","C01",97,103
"98","C01",98,34
"99","C01",99,80
"100","C01",100,39
"101","C01",101,38
"102","C01",102,21
"103","C01",103,21
"104","C01",104,18
"105","C01",105,15
"106","C01",106,15
"107","C01",107,15
"108","C01",108,15
"109","C01",109,12
"110","C01",110,14
"111","C01",111,8
"112","C01",112,8
"113","C01",113,7
"114","C02",1,0
"115","C02",2,0
"116","C02",3,0
"117","C02",4,0
"118","C02",5,20
"119","C02",6,13
"120","C02",7,9
"121","C02",8,36
"122","C02",9,10
"123","C02",10,25
"124","C02",11,10
"125","C02",12,19
"126","C02",13,7
"127","C02",14,15
"128","C02",15,24
"129","C02",16,20
"130","C02",17,14
"131","C02",18,16
"132","C02",19,24
"133","C02",20,21
"134","C02",21,19
"135","C02",22,3
"136","C02",23,27
"137","C02",24,32
"138","C02",25,48
"139","C02",26,96
"140","C02",27,18
"141","C02",28,17
"142","C02",29,41
"143","C02",30,32
"144","C02",31,15
"145","C02",32,13
"146","C02",33,29
"147","C02",34,50
"148","C02",35,25
"149","C02",36,65
"150","C02",37,96
"151","C02",38,80
"152","C02",39,62
"153","C02",40,57
"154","C02",41,93
"155","C02",42,27
"156","C02",43,69
"157","C02",44,12
"158","C02",45,27
"159","C02",46,55
"160","C02",47,119
"161","C02",48,26
"162","C02",49,55
"163","C02",50,50
"164","C02",51,22
"165","C02",52,55
"166","C02",53,84
"167","C02",54,54
"168","C02",55,36
"169","C02",56,53
"170","C02",57,640
"171","C02",58,26
"172","C02",59,33
"173","C02",60,47
