"chamber","T_treatment","Water_treatment","position","timepoint","DateTime","Code","Obs","FTime","Ebal","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","fda","Trans","Tair_K","Twall_K","R.W.m2.","Tl.Ta","SVTleaf","h2o_i","h20diff","CTair","SVTair","CndTotal","vp_kPa","VpdA","CndCO2","Ci_Pa","Ci.Ca","RHsfc","C2sfc","AHs.Cs","campaign","Unit","User"
"C01","ambient","control","low",1,2013-07-10 08:10:36,"1low",33,4204.6,0,1.3312885462,0.1685494108,391.18600638,0.8252442888,0.528680208,10.914258002,6,1.420000017,1,2.840000033,11.734570314,10.914258002,11.873984908,409.7561157,407.7540161,6.6044504166,7.5876018526,49.168680574,56.488018036,499.81066892,30.352478026,47.760458374,102.97527772,2.110191345,0.115637362,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8330177818,0.0008252444,284.064258,284.8845703,4.8563963756,-0.0081095838,1.3100156168,12.721651714,5.1340498594,11.324414158,1.3461642008,0.1591066496,0.7813354086,0.564828792,0.1002490018,40.282487644,0.9593676338,61.513350756,407.1211853,0.00201148,1,"UWS4","John"
"C01","ambient","control","low",2,2013-07-10 09:41:22,"1low",63,9655.7,0,1.9372649366,0.1934340352,387.27135288,0.818977674,0.460598183,12.048269272,6,1.420000017,1,2.840000033,12.783197786,12.048269272,12.93073311,409.8032959,407.07754516,8.2609300612,9.2349729538,57.434427644,64.206506348,499.82262574,38.671033478,80.30753479,103.03320464,2.639274597,0.130626738,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8330377094,0.0008189778,285.19826926,285.93319778,6.1873652182,-0.0076966662,1.4121070432,13.705358836,4.4703858832,12.41573353,1.446657908,0.1810992514,0.95150886,0.495149048,0.1142341666,39.901808512,0.9513453076,69.107799162,406.1566622,0.0032963062,1,"UWS4","John"
"C01","ambient","control","low",3,2013-07-10 12:03:16,"1low",123,18165.6,0,10.44538261,0.2266065608,314.90479302,1.2930743912,0.6235464506,17.382354356,6,1.420000017,1,2.840000033,18.03901558,17.382354356,18.224199294,410.32529906,397.1678528,11.771429062,13.30325661,58.325341798,65.91522522,499.7451965,299.31845092,214.53612974,102.88012542,2.704460144,0.061079085,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8329086612,0.0012930744,290.53235434,291.18901558,47.890951076,-0.0006891192,1.9921871566,19.364159546,6.0609029396,17.71068497,2.0338952672,0.2098614826,1.368640706,0.665254561,0.1325716554,32.397444598,0.7928758476,70.532066264,392.20261814,0.01878452,1,"UWS4","John"
"C01","ambient","control","low",4,2013-07-10 13:06:57,"1low",128,21984,0,2.9952004284,0.1927426562,375.77993822,0.7391329316,0.4149888954,14.76869774,6,1.420000017,1,2.840000033,15.243132018,14.76869774,15.27800808,408.57738648,404.62260134,11.486120414,12.362482834,67.936387634,73.11977234,499.79015502,60.696582792,163.77175598,102.81695862,3.273612976,0.124209464,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8329835916,0.0007391328,287.91869776,288.393132,9.71145303,-0.0059171252,1.6860617808,16.398673958,4.0361911226,15.005914878,1.712027385,0.1804930526,1.2710728852,0.4409545,0.1138482658,38.636550334,0.9287171136,76.61504342,403.19882648,0.0056914104,1,"UWS4","John"
"C01","ambient","control","low",5,2013-07-10 15:30:26,"1low",203,30595.3,0,1.1275090596,0.124247633,390.11261422,0.7145891236,0.607509518,16.375818634,6,1.420000017,1,2.840000033,17.23397789,16.375818634,17.390686034,410.69473266,408.99020388,11.427482032,12.274866104,59.504436494,63.916875456,499.76236574,31.222945406,102.55661468,102.76713868,2.567863464,0.09803015,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8329372762,0.0007145892,289.52581864,290.3839779,4.995671153,-0.0056325564,1.8689623816,18.186381482,5.9115153786,16.804898262,1.9206478744,0.1190397394,1.2614528636,0.6591950108,0.0748508392,40.090757518,0.9538434172,68.375641198,408.45424006,0.001887467,1,"UWS4","John"
"C01","ambient","control","low",6,2013-07-10 16:26:22,"1low",208,33953.9,0,-0.0862782766,0.1954320932,406.6784803,0.7659713306,0.4248499202,13.499897576,6,1.420000017,1,2.840000033,13.994223594,13.499897576,14.022388458,408.90932618,408.63712158,10.068849182,10.978372192,64.517742922,70.345666504,499.75351564,9.5465599062,31.313760758,102.75841216,3.150016785,0.135163367,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832922526,0.0007659714,286.64989756,287.14422362,1.5274495508,-0.0091075126,1.5529700166,15.112826064,4.1344538704,13.747060584,1.5781468642,0.1828493608,1.1281200964,0.4500267676,0.1153484252,41.789634976,0.9952069386,74.065788222,408.67813414,-0.0001563624,1,"UWS4","John"
"C01","ambient","control","top",1,2013-07-10 08:07:00,"1top",28,3989,0,3.7730677914,0.1594984878,361.95706452,0.8241203184,0.5562168536,11.07422657,6,1.420000017,1,2.840000033,11.809045792,11.07422657,11.94130192,409.87907716,404.94900512,6.4744814872,7.4564338684,47.962510682,55.236751556,499.80547484,75.206690978,81.340319824,102.97071684,2.206840515,0.114381373,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8330091248,0.0008241204,284.22422656,284.9590458,12.033070286,-0.0058830578,1.3240111988,12.858133244,5.4016993758,11.44163618,1.3566554296,0.1510171396,0.7677943454,0.588861084,0.0951127466,37.270978782,0.8938337206,59.815734,403.1554694,0.0055980186,1,"UWS4","John"
"C01","ambient","control","top",2,2013-07-10 09:36:07,"1top",58,9339.3,0,8.0421494434,0.2416508908,340.13431284,1.006294483,0.4602405362,12.0151165,6,1.420000017,1,2.840000033,12.576466562,12.0151165,12.683073616,410.04475098,399.90716554,8.0115600584,9.2084774018,56.46103897,64.896263124,499.79792482,188.66840208,159.99292602,103.03395844,2.772666931,0.137746871,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8329965412,0.0010062944,285.16511652,285.72646656,30.18694366,-0.0029239666,1.4090264166,13.675359408,4.4668820042,12.29579153,1.4353000152,0.2227015506,0.9487858804,0.4865141346,0.1407753344,35.045384548,0.8505331986,69.549215876,396.08431284,0.0141213712,1,"UWS4","John"
"C01","ambient","control","top",3,2013-07-10 11:58:31,"1top",118,17882.6,0,18.49313429,0.241152255,252.05168146,1.6756156016,0.7619676236,18.86213951,6,1.420000017,1,2.840000033,18.658732986,18.86213951,18.757246398,410.46749876,387.48519288,11.860014534,13.843901824,56.52616272,65.981567382,499.75170898,999.29752196,257.37511596,102.88387912,2.774650574,0.047880232,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832919515,0.0016756158,292.01213952,291.80873298,159.88759992,0.0260870644,2.1862819464,21.24999526,7.4060934358,18.760436248,2.1724308298,0.2222779902,1.4243143226,0.7481165072,0.1405045438,25.932054728,0.6504805798,67.30182811,378.69444252,0.032866203,1,"UWS4","John"
"C01","ambient","control","top",4,2013-07-10 13:16:12,"1top",133,22538.9,0,12.680288978,0.1885564034,277.74080862,0.911609829,0.5220478482,15.868378638,6,1.420000017,1,2.840000033,16.04278488,15.868378638,16.124441146,409.8586853,394.2036682,11.441695406,12.522442056,64.287561034,70.359951782,499.76243288,449.03952028,179.21479798,102.804982,3.233665466,0.109109938,0.9333333374,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8329373882,0.0009116098,289.01837864,289.19278488,71.846321636,0.0108416634,1.8094172774,17.600482348,5.0780402948,15.955581758,1.8195300514,0.176816949,1.2873694294,0.532160622,0.111508575,28.553138706,0.7045616646,72.53089503,388.1760661,0.0236931704,1,"UWS4","John"
