id,date,machine,user,Obs,HHMMSS,chamber,leaf,T_treatment,Water_treatment,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,leaf mass,leaf area,lma,Rmass
1,2013-06-17,hie1,mike,1,19:43:38,C01,1,amb,control,1833.5,1,-1.668574022,0.029389259,503.3156377,0.416246394,1.396129598,25.02747222,46.26,4,1,8,25.03101349,25.11615753,25.06937218,399.7398071,422.7154236,11.46980095,17.76318932,36.25775146,56.15209579,300.5299683,0.409286976,0.430828393,100.7003632,-3.722991943,-0.349426806,1,0,4,0,1,0.189999998,111115,0.064965406,0.000416246,298.2661575,298.1810135,0.081857394,-0.088685311,3.184889213,31.62738558,13.86419626,25.11615753,3.201764257,0.029281688,1.788759615,1.413004642,0.018310689,50.6840675,1.190672518,55.21850831,422.9969955,-0.002178175,0.5201,46.26,112.4297449,14.84103716
2,2013-06-17,hie1,mike,2,19:43:49,C01,1,amb,control,1844,1,-1.671887101,0.029356457,503.6267555,0.416242976,1.39765788,25.03782748,46.26,4,1,8,25.03356361,25.12704468,25.07195473,399.727478,422.7595825,11.47262669,17.76750755,36.26124191,56.1573143,300.4549255,0.307586223,0.323774964,100.7005463,-3.722991943,-0.349426806,1,0,4,0,1,0.189999998,111115,0.064949184,0.000416243,298.2770447,298.1835636,0.061517242,-0.089217194,3.186855597,31.64685511,13.87934755,25.12704468,3.203841238,0.029249126,1.789197716,1.414643522,0.018290317,50.7154894,1.191284069,55.1964203,423.0417135,-0.002181397,0.5201,46.26,112.4297449,14.87050515
3,2013-06-17,hie1,mike,3,19:44:03,C01,1,amb,control,1858.5,1,-1.672653133,0.029289329,503.849193,0.415979637,1.399943125,25.04755884,46.26,4,1,8,25.03869438,25.13698006,25.07113838,399.7079773,422.7510376,11.47308445,17.76329803,36.25134659,56.12644577,300.4889221,0.302619755,0.3185471,100.6998444,-3.722991943,-0.349426806,1,0,4,0,1,0.189999998,111115,0.064956533,0.00041598,298.2869801,298.1886944,0.060523948,-0.089421218,3.188704472,31.66543595,13.90213792,25.13698006,3.205737674,0.029182487,1.788761347,1.416976327,0.018248624,50.73753532,1.191834314,55.14847916,423.0332978,-0.002180544,0.5201,46.26,112.4297449,14.87731858
4,2013-06-17,hie1,mike,4,19:44:17,C01,1,amb,control,1872.5,1,-1.677329555,0.029183335,504.5137416,0.415034617,1.401822745,25.05065325,46.26,4,1,8,25.04727936,25.1396656,25.06752396,399.7318726,422.8493958,11.4752903,17.7504673,36.23978043,56.05723572,300.528595,0.200920209,0.211494967,100.6998749,-3.722991943,-0.349426806,1,0,4,0,1,0.189999998,111115,0.064965109,0.000415035,298.2896656,298.1972794,0.040184043,-0.089012349,3.189292581,31.67126657,13.92079927,25.1396656,3.206250452,0.029077264,1.787469836,1.418780616,0.01818279,50.80447065,1.19312868,55.09610984,423.1324451,-0.002184052,0.5201,46.26,112.4297449,14.91891275
5,2013-06-17,hie1,mike,5,19:44:29,C01,1,amb,control,1884.5,1,-1.678754679,0.029030523,505.0727133,0.413498929,1.403990435,25.05285835,46.26,4,1,8,25.04696465,25.14182854,25.0613842,399.7164917,422.8682861,11.48012066,17.73285484,36.25622559,56.0034523,300.4966736,0.049608968,0.052219968,100.7012863,-3.722991943,-0.349426806,1,0,4,0,1,0.189999998,111115,0.064958209,0.000413499,298.2918285,298.1969646,0.009921794,-0.08897019,3.189711728,31.67498494,13.9421301,25.14182854,3.206663494,0.028925557,1.785721293,1.420942202,0.018087875,50.86147191,1.194397239,55.03204753,423.151576,-0.002183267,0.5201,46.26,112.4297449,14.93158843
6,2013-06-17,hie1,mike,6,19:55:00,C01,2,amb,control,2514.5,1,-1.549119245,0.014218969,585.7617152,0.234649781,1.625645476,25.04622299,51.79,4,1,8,25.02825928,25.09723663,25.06430817,399.5575256,424.5390015,11.5366478,15.51797104,36.47832108,49.06707001,300.5013428,0.323701382,0.340738297,100.7093735,-3.338195801,-0.293596804,1,0,4,0,1,0.189999998,111115,0.058023044,0.00023465,298.2472366,298.1782593,0.064740276,-0.05101364,3.188450617,31.6599191,16.14194806,25.09723663,3.198157446,0.014193742,1.562805141,1.635352305,0.008873352,58.99169534,1.379759488,47.87545948,424.8004153,-0.001745874,0.5493,51.79,106.0629465,14.60565914
7,2013-06-17,hie1,mike,7,19:55:14,C01,2,amb,control,2528.5,1,-1.545337641,0.014097553,586.8149018,0.233305887,1.630236345,25.0599341,51.79,4,1,8,25.03226471,25.11131477,25.06211853,399.6477051,424.5728455,11.53970528,15.4981699,36.47950363,48.9930687,300.5116882,0.204640284,0.215410829,100.7099991,-3.338195801,-0.293596804,1,0,4,0,1,0.189999998,111115,0.058025041,0.000233306,298.2613148,298.1822647,0.040928057,-0.051380673,3.191057021,31.68560272,16.18743282,25.11131477,3.200840764,0.014072754,1.560820676,1.640020088,0.008797696,59.09812822,1.382130082,47.77000441,424.8336212,-0.00173764,0.5493,51.79,106.0629465,14.57000481
8,2013-06-17,hie1,mike,8,19:55:33,C01,2,amb,control,2547.5,1,-1.547735816,0.013994347,588.3376603,0.231974267,1.632878256,25.06230905,51.79,4,1,8,25.03288269,25.11332321,25.06625175,399.5917664,424.5693665,11.54025555,15.47642994,36.47987747,48.92251587,300.4951782,0.388205081,0.408636928,100.7099457,-3.338195801,-0.293596804,1,0,4,0,1,0.189999998,111115,0.058021853,0.000231974,298.2633232,298.1828827,0.077641015,-0.051014161,3.191508675,31.69010422,16.21367428,25.11332321,3.201223736,0.013969909,1.558630418,1.642593318,0.008733385,59.25145381,1.385728003,47.69255361,424.8305469,-0.001737527,0.5493,51.79,106.0629465,14.59261568
9,2013-06-17,hie1,mike,9,19:55:48,C01,2,amb,control,2563,1,-1.549922185,0.013864413,590.2415241,0.230601326,1.638402237,25.08063889,51.79,4,1,8,25.03818512,25.13231087,25.06535912,399.6102295,424.6339111,11.54333591,15.45607758,36.47840118,48.84316254,300.5118713,0.153790846,0.161885098,100.7108154,-3.338195801,-0.293596804,1,0,4,0,1,0.189999998,111115,0.058025077,0.000230601,298.2823109,298.1881851,0.030758168,-0.051671974,3.194996413,31.72446176,16.26838419,25.13231087,3.204846311,0.013840427,1.556594176,1.648252135,0.008652419,59.4437052,1.390000913,47.57166625,424.8954605,-0.001735306,0.5493,51.79,106.0629465,14.61322956
10,2013-06-17,hie1,mike,10,19:55:59,C01,2,amb,control,2574,1,-1.552659058,0.01378889,591.5873709,0.229634902,1.640449219,25.08499956,51.79,4,1,8,25.04053307,25.13651466,25.06222153,399.6401672,424.7181091,11.54764557,15.4440918,36.48668671,48.79815292,300.5076294,0.217046961,0.228470489,100.7101898,-3.338195801,-0.293596804,1,0,4,0,1,0.189999998,111115,0.058024257,0.000229635,298.2865147,298.1905331,0.043409392,-0.051515108,3.195826635,31.73290251,16.28881071,25.13651466,3.20564882,0.013765165,1.555377416,1.650271403,0.008605356,59.57887642,1.392894153,47.51940123,424.9801203,-0.001736115,0.5493,51.79,106.0629465,14.63903379
11,2013-06-17,hie1,mike,11,20:05:43,C01,3,amb,control,3158.5,1,-1.622227303,0.013323786,605.2119045,0.223761072,1.65466107,25.02492725,48.47,4,1,8,25.029356,25.0724926,25.06494331,399.3368835,423.9744568,11.63353062,15.18816376,36.78596878,48.02594757,300.4803162,0.188513264,0.198435023,100.7195511,-3.552032471,-0.308097422,1,0,4,0,1,0.189999998,111115,0.061993051,0.000223761,298.2224926,298.179356,0.037702654,-0.047565352,3.184406105,31.61656372,16.42839997,25.0724926,3.193445954,0.013301632,1.529745035,1.663700918,0.008315508,60.95667133,1.427472563,46.88193718,424.2482076,-0.001792657,0.5273,48.47,108.7889416,14.91169304
12,2013-06-17,hie1,mike,12,20:06:03,C01,3,amb,control,3177.5,1,-1.613765859,0.0132452,605.2760425,0.223116921,1.659665225,25.04380183,48.47,4,1,8,25.04767799,25.09134293,25.07457542,399.4435425,423.948822,11.62954426,15.1739521,36.73350906,47.92900848,300.4840088,0.10293974,0.108357623,100.7203217,-3.552032471,-0.308097422,1,0,4,0,1,0.189999998,111115,0.061993812,0.000223117,298.2413429,298.197678,0.020587948,-0.047541093,3.187990562,31.65191005,16.47795795,25.09134293,3.197034679,0.013223307,1.528325337,1.668709343,0.008266531,60.96359769,1.427710165,46.78010016,424.221145,-0.001779547,0.5273,48.47,108.7889416,14.8339145
13,2013-06-17,hie1,mike,13,20:06:25,C01,3,amb,control,3200,1,-1.615133138,0.013161117,606.6874706,0.222177314,1.6632285,25.05510517,48.47,4,1,8,25.05328941,25.10259819,25.06354713,399.4656372,423.9978638,11.63040924,15.15974617,36.72434235,47.86862564,300.5006409,0.270368785,0.284598738,100.7213669,-3.552032471,-0.308097422,1,0,4,0,1,0.189999998,111115,0.061997244,0.000222177,298.2525982,298.2032894,0.05407376,-0.047493021,3.190138856,31.67291067,16.5131645,25.10259819,3.199179136,0.013139501,1.526910356,1.672268781,0.008214127,61.10639131,1.430873885,46.70100933,424.2704175,-0.001777837,0.5273,48.47,108.7889416,14.84648269
14,2013-06-17,hie1,mike,14,20:06:39,C01,3,amb,control,3214,1,-1.61384125,0.013105794,607.3837606,0.221608624,1.665944552,25.06470698,48.47,4,1,8,25.05929947,25.11228371,25.06854248,399.5423584,424.0563965,11.63081264,15.15099907,36.71224213,47.82358551,300.5132751,0.264167279,0.278070837,100.7207642,-3.552032471,-0.308097422,1,0,4,0,1,0.189999998,111115,0.06199985,0.000221609,298.2622837,298.2092995,0.052833458,-0.047576722,3.191964756,31.69122854,16.54022947,25.11228371,3.201025517,0.013084359,1.526020204,1.675005313,0.008179648,61.17615651,1.432318356,46.6438807,424.3287322,-0.001773998,0.5273,48.47,108.7889416,14.83460751
15,2013-06-17,hie1,mike,15,20:06:53,C01,3,amb,control,3228,1,-1.613327392,0.01308529,607.6209879,0.221046583,1.664351108,25.05173341,48.47,4,1,8,25.06078911,25.09835434,25.06334496,399.5288086,424.0371399,11.63119411,15.14229298,36.71027374,47.79197311,300.5296021,0.296421766,0.312022924,100.720993,-3.552032471,-0.308097422,1,0,4,0,1,0.189999998,111115,0.062003219,0.000221047,298.2483543,298.2107891,0.059284355,-0.046620925,3.189497893,31.66666449,16.52437151,25.09835434,3.198370411,0.013063922,1.525146786,1.673223626,0.008166868,61.20018929,1.43294285,46.65445908,424.3093889,-0.001773916,0.5273,48.47,108.7889416,14.82988406
16,2013-06-17,hie3,john,1,19:34:52,C02,1,elev,control,566.5,1,-1.306755628,0.006162642,741.8747603,0.088265932,1.408651334,24.82552451,37.67,4,1,8,24.9985981,24.8348465,25.07287598,399.7186584,415.6513367,16.16904259,17.25720787,51.22028351,54.66737366,300.2850647,0.005050208,0.005316009,100.717392,0.908800125,-0.687413096,1,0,4,0,1,0.189999998,111115,0.079714644,8.82659E-05,297.9848465,298.1485981,0.001010042,-0.009321991,3.146752304,31.2433855,13.98617763,24.8348465,3.148503893,0.006157898,1.738100969,1.410402923,0.003849112,74.71969103,1.78484873,54.15752014,415.8718517,-0.001701742,0.4086,37.67,108.4682771,12.04735304
17,2013-06-17,hie3,john,2,19:35:01,C02,1,elev,control,576,1,-1.309332194,0.006211922,739.8651956,0.088961438,1.408482953,24.82879923,37.67,4,1,8,24.99950027,24.8383503,25.0723877,399.6802673,415.6446228,16.16809464,17.26502991,51.21440506,54.68907928,300.229126,0.058077663,0.061134383,100.7171478,0.908800125,-0.687413096,1,0,4,0,1,0.189999998,111115,0.079699795,8.89614E-05,297.9883503,298.1495003,0.011615533,-0.009551066,3.147367523,31.24956962,13.98453971,24.8383503,3.149162472,0.006207103,1.738884569,1.410277902,0.003879872,74.51711227,1.780042746,54.17191282,415.8655726,-0.001705576,0.4086,37.67,108.4682771,12.07110713
18,2013-06-17,hie3,john,3,19:35:10,C02,1,elev,control,585,1,-1.306384531,0.006235826,737.8227467,0.089316531,1.408691901,24.83296251,37.67,4,1,8,24.99717522,24.84284782,25.07142067,399.7049255,415.6300659,16.16928673,17.27056694,51.22574234,54.71469498,300.2365723,0.16287066,0.171442807,100.7180557,0.908800125,-0.687413096,1,0,4,0,1,0.189999998,111115,0.079701771,8.93165E-05,297.9928478,298.1471752,0.032574133,-0.009885317,3.148149825,31.25705517,13.98648823,24.84284782,3.15000801,0.006230969,1.739457923,1.410550087,0.003894792,74.31207251,1.775190986,54.17633504,415.8505183,-0.001701937,0.4086,37.67,108.4682771,12.04393179
