chamber,T_treatment,layer,LeafFM,BranchFM,LeafDM,LeafMoist,BranchDM,BranchMoist,LeafNum,LeafFM100,LeafArea100,LeafDM100,LeafMoist100,SLA,StemFM,StemFMminusDisks,diskFM,diskDM,StemDMminusDisks,StemMoist,StemDM,TotalLeafDM
C01,ambient,low,1575.57,616.814,667.17,54.37448035,289.514,53.06299792,100,113.732,4202.2,51.692,54.54929132,81.29304341,8005,7429,576,220.7160048,2846.7,61.68124916,3067.416005,718.862
C01,ambient,mid,2172.87,1023.214,917.97,55.46249891,465.814,54.47540788,100,109.572,4636.6,49.772,54.57598657,93.15679499,3842,3633,209,84.77932838,1473.7,59.43572805,1558.479328,967.742
C01,ambient,top,868.07,493.414,324.37,55.78674531,210.314,57.37575342,100,129.932,4285.2,59.432,54.25915094,72.10257101,974,959,15,6.31438999,403.7,57.90406674,410.01439,383.802
C02,elevated,low,1600.84,541.914,627.27,58.37360386,234.614,56.70641467,100,93.832,3379.9,39.102,58.32764942,86.43803386,10822,10132,690,245.075306,3598.7,64.48183972,3843.775306,666.372
C02,elevated,mid,3356.07,1453.828,1265.07,61.27190434,585.728,59.71132761,100,87.382,3325,34.672,60.32134765,95.89870789,6153,6050,103,37.2451405,2187.7,63.83966942,2224.94514,1299.742
C02,elevated,top,1750.87,1126.234,688.57,58.78837378,427.314,62.05815133,100,78.332,2885.6,32.992,57.88183629,87.46362755,1099,1082,17,6.767005545,430.7,60.19408503,437.4670055,721.562
C03,ambient,low,974.27,331.414,355.67,58.1407618,157.314,52.53248203,100,123.982,4137.8,52.152,57.93582939,79.34115662,6641,6155,486,172.4253777,2183.7,64.52152721,2356.125378,407.822
C03,ambient,mid,1411.97,653.614,567.57,56.2581358,299.914,54.11450795,100,113.232,4097.7,50.052,55.79694786,81.86885639,3927,3674,253,96.38652695,1399.7,61.90255852,1496.086527,617.622
C03,ambient,top,928.07,480.814,335.17,56.69809389,205.114,57.34026047,100,153.032,4405.3,66.702,56.4130378,66.04449642,1007,992,15,5.544858871,366.7,63.03427419,372.2448589,401.872
C04,elevated,low,641.57,205.114,257.67,53.06950138,100.214,51.1422916,100,91.332,3044.3,43.422,52.45697017,70.10962185,8584,8216,368,136.4636806,3046.7,62.91747809,3183.163681,301.092
C04,elevated,mid,2511.07,1049.714,1139.77,52.5818874,486.014,53.70034124,100,106.932,3829.6,50.932,52.3697303,75.19045001,6746,6560,186,71.21588415,2511.7,61.71189024,2582.915884,1190.702
C04,elevated,top,2097.37,971.714,915.27,54.60352727,435.314,55.20142758,100,82.762,3022.4,36.862,55.46023537,81.99229559,1719,1606,113,45.99508095,653.7,59.29638854,699.6950809,952.132
