Sample Date,Time,Chamber,Canopy Position,Starch,Soluble Sugars,TNC
20/02/2014,6:00,C01,Lower,93.65,87.76,181.42
20/02/2014,6:00,C01,Upper,70.82,86.18,157
20/02/2014,6:00,C02,Lower,76.72,93.04,169.76
20/02/2014,6:00,C02,Upper,61.12,75.05,136.17
20/02/2014,6:00,C03,Lower,108.85,119.09,227.94
20/02/2014,6:00,C03,Upper,71.06,70.31,141.37
20/02/2014,6:00,C04,Lower,108.73,89.2,197.93
20/02/2014,6:00,C04,Upper,66.44,89.78,156.22
20/02/2014,6:00,C05,Lower,73.28,100.12,173.4
20/02/2014,6:00,C05,Upper,71.73,92.85,164.59
20/02/2014,6:00,C06,Lower,74.49,96.34,170.83
20/02/2014,6:00,C06,Upper,51.5,98.63,150.12
20/02/2014,6:00,C07,Lower,111.05,102.35,213.4
20/02/2014,6:00,C07,Upper,106.27,74.3,180.57
20/02/2014,6:00,C08,Lower,78.22,95.48,173.7
20/02/2014,6:00,C08,Upper,134.61,109.22,243.83
20/02/2014,6:00,C09,Lower,100.19,94.25,194.43
20/02/2014,6:00,C09,Upper,65.79,79.15,144.94
20/02/2014,6:00,C10,Lower,149.73,102.49,252.22
20/02/2014,6:00,C10,Upper,91.12,103.18,194.3
20/02/2014,6:00,C11,Lower,87.85,94.09,181.94
20/02/2014,6:00,C11,Upper,85.63,67.7,153.33
20/02/2014,6:00,C12,Lower,116.58,94.21,210.79
20/02/2014,6:00,C12,Upper,95.62,64.52,160.14
20/02/2014,8:00,C01,Lower,90.73,99.05,189.78
20/02/2014,8:00,C01,Upper,82.74,75.62,158.36
20/02/2014,8:00,C02,Lower,65.63,93.55,159.17
20/02/2014,8:00,C02,Upper,60.95,80.75,141.7
20/02/2014,8:00,C03,Lower,82.8,86.66,169.46
20/02/2014,8:00,C03,Upper,71.83,64.78,136.61
20/02/2014,8:00,C04,Lower,130.47,86.85,217.32
20/02/2014,8:00,C04,Upper,86.09,120.97,207.07
20/02/2014,8:00,C05,Lower,62.22,72.89,135.11
20/02/2014,8:00,C05,Upper,56.4,71.81,128.21
20/02/2014,8:00,C06,Lower,81.05,95.05,176.11
20/02/2014,8:00,C06,Upper,64.06,114.44,178.5
20/02/2014,8:00,C07,Lower,79.46,98.38,177.84
20/02/2014,8:00,C07,Upper,84.12,73.67,157.79
20/02/2014,8:00,C08,Lower,132.07,83.27,215.34
20/02/2014,8:00,C08,Upper,77.14,119.25,196.39
20/02/2014,8:00,C09,Lower,92.85,96.19,189.04
20/02/2014,8:00,C09,Upper,67.91,88.13,156.04
20/02/2014,8:00,C10,Lower,137.92,97.06,234.98
20/02/2014,8:00,C10,Upper,88.63,96.95,185.58
20/02/2014,8:00,C11,Lower,89.6,78.32,167.92
20/02/2014,8:00,C11,Upper,91.34,76.07,167.41
20/02/2014,8:00,C12,Lower,182.42,68.85,251.27
20/02/2014,8:00,C12,Upper,58.02,61.2,119.22
20/02/2014,10:00,C01,Lower,82.21,76.62,158.82
20/02/2014,10:00,C01,Upper,82.37,80.2,162.57
20/02/2014,10:00,C02,Lower,119.85,71.7,191.56
20/02/2014,10:00,C02,Upper,50.13,63.85,113.98
20/02/2014,10:00,C03,Lower,64.51,70.61,135.12
20/02/2014,10:00,C03,Upper,58.12,52.3,110.42
20/02/2014,10:00,C04,Lower,124.31,76.9,201.22
20/02/2014,10:00,C04,Upper,56.77,92.19,148.96
20/02/2014,10:00,C05,Lower,55.39,68.39,123.78
20/02/2014,10:00,C05,Upper,93.18,84.18,177.36
20/02/2014,10:00,C06,Lower,70.64,97.18,167.82
20/02/2014,10:00,C06,Upper,53.02,80.6,133.62
20/02/2014,10:00,C07,Lower,89.97,79.52,169.49
20/02/2014,10:00,C07,Upper,87.88,72.93,160.81
20/02/2014,10:00,C08,Lower,79.73,107.39,187.12
20/02/2014,10:00,C08,Upper,68.84,87.99,156.83
20/02/2014,10:00,C09,Lower,85.68,84.68,170.36
20/02/2014,10:00,C09,Upper,56.42,71.89,128.31
20/02/2014,10:00,C10,Lower,161.38,89.66,251.04
20/02/2014,10:00,C10,Upper,81.37,82.62,163.98
20/02/2014,10:00,C11,Lower,95.52,73.76,169.28
20/02/2014,10:00,C11,Upper,93.4,67.68,161.08
20/02/2014,10:00,C12,Lower,161.17,72.09,233.26
20/02/2014,10:00,C12,Upper,86.12,69.68,155.79
20/02/2014,12:00,C01,Lower,115.25,91.01,206.27
20/02/2014,12:00,C01,Upper,81.09,73.36,154.45
20/02/2014,12:00,C02,Lower,113.68,77.09,190.77
20/02/2014,12:00,C02,Upper,55.8,85.47,141.27
20/02/2014,12:00,C03,Lower,71.45,70.73,142.19
20/02/2014,12:00,C03,Upper,64.77,61.19,125.96
20/02/2014,12:00,C04,Lower,149.1,79.7,228.8
20/02/2014,12:00,C04,Upper,73.76,94.91,168.67
20/02/2014,12:00,C05,Lower,59.61,71.69,131.3
20/02/2014,12:00,C05,Upper,67.28,88.99,156.27
20/02/2014,12:00,C06,Lower,77.46,85.43,162.88
20/02/2014,12:00,C06,Upper,70.45,93.22,163.67
20/02/2014,12:00,C07,Lower,127.43,92.66,220.09
20/02/2014,12:00,C07,Upper,93,76.32,169.32
20/02/2014,12:00,C08,Lower,83.29,95.73,179.02
20/02/2014,12:00,C08,Upper,114.44,89.19,203.63
20/02/2014,12:00,C09,Lower,93.06,90.01,183.07
20/02/2014,12:00,C09,Upper,66.09,77.08,143.17
20/02/2014,12:00,C10,Lower,192.49,94.53,287.01
20/02/2014,12:00,C10,Upper,101.89,100.15,202.05
20/02/2014,12:00,C11,Lower,121.61,105.99,227.6
20/02/2014,12:00,C11,Upper,93.86,71.04,164.9
20/02/2014,12:00,C12,Lower,176.82,72.52,249.35
20/02/2014,12:00,C12,Upper,59.51,79.53,139.04
20/02/2014,14:00,C01,Lower,82.94,94.67,177.62
20/02/2014,14:00,C01,Upper,82.36,78.34,160.71
20/02/2014,14:00,C02,Lower,77.48,77.45,154.93
