Date,chamber,leaf,T_treatment,Water_treatment,percent_starch,starch_mgg,percent_sugar,sugar_mgg,percent_TNC,TNC_mgg,leafarea_cm2,leafmass_g
2013-05-15,C01,1,ambient,control,20.04147039,200.4147039,15.43330301,154.3330301,35.4747734,354.747734,49.5,0.5175
2013-05-15,C01,2,ambient,control,20.91733776,209.1733776,12.98837013,129.8837013,33.90570789,339.0570789,52.16,0.4362
2013-05-15,C01,3,ambient,control,17.49420702,174.9420702,11.65976641,116.5976641,29.15397342,291.5397342,45.11,0.4091
2013-05-15,C02,1,elevated,control,6.784510091,67.84510091,15.10733413,151.0733413,21.89184422,218.9184422,37.64,0.3173
2013-05-15,C02,2,elevated,control,7.583060386,75.83060386,14.65144321,146.5144321,22.2345036,222.345036,50.31,0.387
2013-05-15,C02,3,elevated,control,5.431724414,54.31724414,10.59048329,105.9048329,16.0222077,160.222077,48.23,0.3336
2013-05-15,C03,1,ambient,control,9.892454801,98.92454801,11.97954502,119.7954502,21.87199982,218.7199982,33.9,0.3424
2013-05-15,C03,2,ambient,control,11.24861177,112.4861177,11.96909475,119.6909475,23.21770652,232.1770652,27.12,0.2944
2013-05-15,C03,3,ambient,control,10.77537236,107.7537236,9.586326574,95.86326574,20.36169894,203.6169894,41.97,0.3492
2013-05-15,C04,1,elevated,control,16.627533,166.27533,14.46945744,144.6945744,31.09699044,310.9699044,43.48,0.4244
2013-05-15,C04,2,elevated,control,25.69257039,256.9257039,15.66094492,156.6094492,41.3535153,413.535153,42.37,0.4272
2013-05-15,C04,3,elevated,control,18.74183621,187.4183621,13.97201239,139.7201239,32.7138486,327.138486,34.2,0.33
2013-05-15,C05,1,ambient,control,20.93538545,209.3538545,10.93209075,109.3209075,31.8674762,318.674762,29.62,0.3728
2013-05-15,C05,2,ambient,control,25.04227855,250.4227855,11.80413819,118.0413819,36.84641674,368.4641674,30.6,0.3712
2013-05-15,C05,3,ambient,control,28.62096493,286.2096493,12.37592712,123.7592712,40.99689205,409.9689205,19.34,0.2377
2013-05-15,C06,1,elevated,control,15.64313442,156.4313442,13.60563917,136.0563917,29.24877359,292.4877359,33.21,0.3326
2013-05-15,C06,2,elevated,control,18.08008946,180.8008946,13.52599271,135.2599271,31.60608217,316.0608217,35.99,0.3426
2013-05-15,C06,3,elevated,control,19.22641832,192.2641832,15.07754295,150.7754295,34.30396126,343.0396126,27.87,0.2969
2013-05-15,C07,1,ambient,control,15.62404316,156.2404316,11.04403066,110.4403066,26.66807381,266.6807381,29.76,0.2519
2013-05-15,C07,2,ambient,control,20.29539141,202.9539141,11.75512654,117.5512654,32.05051794,320.5051794,52.36,0.6093
2013-05-15,C07,3,ambient,control,14.58055536,145.8055536,10.02038439,100.2038439,24.60093975,246.0093975,41.28,0.3341
2013-05-15,C08,1,elevated,control,11.48723468,114.8723468,12.09300611,120.9300611,23.58024078,235.8024078,38.42,0.3335
2013-05-15,C08,2,elevated,control,16.45622505,164.5622505,14.29822389,142.9822389,30.75444894,307.5444894,40.69,0.3911
2013-05-15,C08,3,elevated,control,17.05481947,170.5481947,12.20672972,122.0672972,29.26154919,292.6154919,58.86,0.5918
2013-05-15,C09,1,ambient,control,13.54609993,135.4609993,15.85196913,158.5196913,29.39806906,293.9806906,53.05,0.5613
2013-05-15,C09,2,ambient,control,11.36043246,113.6043246,14.50647017,145.0647017,25.86690263,258.6690263,56.01,0.6211
2013-05-15,C09,3,ambient,control,14.86435279,148.6435279,14.082896,140.82896,28.94724878,289.4724878,42.87,0.4747
2013-05-15,C10,1,elevated,control,9.470539987,94.70539987,13.56177609,135.6177609,23.03231608,230.3231608,37.37,0.3324
2013-05-15,C10,2,elevated,control,9.359142265,93.59142265,14.19911804,141.9911804,23.5582603,235.582603,27.8,0.2229
2013-05-15,C10,3,elevated,control,7.18254083,71.8254083,12.76648721,127.6648721,19.94902804,199.4902804,30.09,0.2185
