"collection","chamber","litter","startDate","collectionDate"
1,"C01",1.622272222,2013-07-23,2013-09-13
1,"C02",1.937272222,2013-07-23,2013-09-13
1,"C03",11.30027222,2013-07-23,2013-09-13
1,"C04",6.012272222,2013-07-23,2013-09-13
1,"C05",4.752272222,2013-07-23,2013-09-13
1,"C06",4.628272222,2013-07-23,2013-09-13
1,"C07",12.04727222,2013-07-23,2013-09-13
1,"C08",5.673272222,2013-07-23,2013-09-13
1,"C09",4.517272222,2013-07-23,2013-09-13
1,"C10",6.758272222,2013-07-23,2013-09-13
1,"C11",10.23627222,2013-07-23,2013-09-13
1,"C12",4.799272222,2013-07-23,2013-09-13
2,"C01",0,2013-09-14,2013-10-01
2,"C02",0.786272222,2013-09-14,2013-10-01
2,"C03",15.47327222,2013-09-14,2013-10-01
2,"C04",6.660272222,2013-09-14,2013-10-01
2,"C05",2.217272222,2013-09-14,2013-10-01
2,"C06",7.920272222,2013-09-14,2013-10-01
2,"C07",9.315272222,2013-09-14,2013-10-01
2,"C08",1.086272222,2013-09-14,2013-10-01
2,"C09",1.012272222,2013-09-14,2013-10-01
2,"C10",7.347272222,2013-09-14,2013-10-01
2,"C11",2.128272222,2013-09-14,2013-10-01
2,"C12",1.759272222,2013-09-14,2013-10-01
3,"C01",0.944272222,2013-10-02,2013-10-15
3,"C02",2.347272222,2013-10-02,2013-10-15
3,"C03",28.4935,2013-10-02,2013-10-15
3,"C04",9.134272222,2013-10-02,2013-10-15
3,"C05",35.8805,2013-10-02,2013-10-15
3,"C06",9.681272222,2013-10-02,2013-10-15
3,"C07",7.944272222,2013-10-02,2013-10-15
3,"C08",1.008272222,2013-10-02,2013-10-15
3,"C09",16.7105,2013-10-02,2013-10-15
3,"C10",5.935272222,2013-10-02,2013-10-15
3,"C11",2.350272222,2013-10-02,2013-10-15
3,"C12",3.447272222,2013-10-02,2013-10-15
4,"C01",0,2013-10-16,2013-10-30
4,"C02",5.225272222,2013-10-16,2013-10-30
4,"C03",18.7905,2013-10-16,2013-10-30
4,"C04",9.134272222,2013-10-16,2013-10-30
4,"C05",10.00527222,2013-10-16,2013-10-30
4,"C06",7.674272222,2013-10-16,2013-10-30
4,"C07",7.222272222,2013-10-16,2013-10-30
4,"C08",6.752272222,2013-10-16,2013-10-30
4,"C09",14.1715,2013-10-16,2013-10-30
4,"C10",3.413272222,2013-10-16,2013-10-30
4,"C11",1.731272222,2013-10-16,2013-10-30
4,"C12",3.969272222,2013-10-16,2013-10-30
5,"C01",0,2013-10-31,2013-11-14
5,"C02",4.306272222,2013-10-31,2013-11-14
5,"C03",6.443272222,2013-10-31,2013-11-14
5,"C04",7.121272222,2013-10-31,2013-11-14
5,"C05",36.4685,2013-10-31,2013-11-14
5,"C06",7.336272222,2013-10-31,2013-11-14
5,"C07",6.162272222,2013-10-31,2013-11-14
5,"C08",3.277272222,2013-10-31,2013-11-14
5,"C09",13.34027222,2013-10-31,2013-11-14
5,"C10",8.768272222,2013-10-31,2013-11-14
5,"C11",3.087272222,2013-10-31,2013-11-14
5,"C12",3.948272222,2013-10-31,2013-11-14
6,"C01",0,2013-11-15,2013-11-26
6,"C02",0,2013-11-15,2013-11-26
6,"C03",5.489272222,2013-11-15,2013-11-26
6,"C04",2.917272222,2013-11-15,2013-11-26
6,"C05",2.635272222,2013-11-15,2013-11-26
6,"C06",2.847272222,2013-11-15,2013-11-26
6,"C07",7.693272222,2013-11-15,2013-11-26
6,"C08",1.571272222,2013-11-15,2013-11-26
6,"C09",4.265272222,2013-11-15,2013-11-26
6,"C10",4.015272222,2013-11-15,2013-11-26
6,"C11",2.197272222,2013-11-15,2013-11-26
6,"C12",4.810272222,2013-11-15,2013-11-26
7,"C01",0,1201-11-27,2013-12-10
7,"C02",1.801272222,1201-11-27,2013-12-10
7,"C03",4.106272222,1201-11-27,2013-12-10
7,"C04",8.916272222,1201-11-27,2013-12-10
7,"C05",6.741272222,1201-11-27,2013-12-10
7,"C06",3.207272222,1201-11-27,2013-12-10
7,"C07",3.093272222,1201-11-27,2013-12-10
7,"C08",6.540272222,1201-11-27,2013-12-10
7,"C09",6.459272222,1201-11-27,2013-12-10
7,"C10",7.046272222,1201-11-27,2013-12-10
7,"C11",4.565272222,1201-11-27,2013-12-10
7,"C12",7.019272222,1201-11-27,2013-12-10
8,"C01",0,2013-12-11,2013-12-24
8,"C02",3.039272222,2013-12-11,2013-12-24
8,"C03",8.298272222,2013-12-11,2013-12-24
8,"C04",11.65027222,2013-12-11,2013-12-24
8,"C05",8.840272222,2013-12-11,2013-12-24
8,"C06",5.664272222,2013-12-11,2013-12-24
8,"C07",7.929272222,2013-12-11,2013-12-24
8,"C08",3.405272222,2013-12-11,2013-12-24
8,"C09",10.01227222,2013-12-11,2013-12-24
8,"C10",5.903272222,2013-12-11,2013-12-24
