Date,chamber,leaf,treatment,branch_no,dry_mass,leaf_area,starch,soluble_sugars
2014-05-09,C05,3,girdle,54,0.6824,43.8,25.77,57.77
2014-05-09,C05,3,control,54,0.7459,47.0,23.74,42.99
2014-05-09,C07,2,girdle,39,0.8896,63.3,0.10,85.52
2014-05-09,C07,2,control,39,0.5575,38.1,0.10,53.99
2014-05-09,C07,3,girdle,41,0.5927,39.0,18.14,90.31
2014-05-09,C07,3,control,41,0.5048,37.3,8.14,76.81
2014-05-09,C09,2,girdle,43,0.4315,34.3,4.81,61.09
2014-05-09,C09,2,control,43,0.3808,37.4,5.27,81.45
2014-05-09,C05,2,girdle,50,0.6079,38.6,10.82,74.64
2014-05-09,C05,2,control,50,0.6915,47.4,6.09,52.02
2014-05-09,C09,3,girdle,57,0.5845,40.5,18.74,75.29
2014-05-09,C09,3,control,57,0.5868,39.1,10.96,101.57
2014-05-12,C07,4,control,40,0.5102,34.9,5.72,78.64
2014-05-12,C07,4,girdle,40,0.5226,33.3,9.00,71.30
2014-05-12,C05,4,girdle,51,0.4708,26.9,33.39,91.08
2014-05-12,C05,4,control,51,0.4444,31.2,5.97,29.56
2014-05-12,C05,5,girdle,56,0.5928,35.4,12.69,46.27
2014-05-12,C05,5,control,56,0.5742,37.8,6.16,67.62
2014-05-12,C09,4,control,39,0.4751,31.7,12.24,80.20
2014-05-12,C09,4,girdle,39,0.3110,25.2,14.67,62.69
2014-05-12,C09,5,girdle,27,0.4068,28.4,15.96,105.76
2014-05-12,C09,5,control,27,0.5113,38.8,9.34,98.81
2014-05-12,C07,5,girdle,44,0.4134,28.3,18.52,78.76
2014-05-12,C07,5,control,44,0.3527,30.5,13.44,75.17
2014-05-07,C05,6,control,70,0.5722,38.0,34.01,82.98
2014-05-07,C05,6,girdle,70,0.4935,31.3,34.91,100.94
2014-05-07,C05,1,control,57,0.4093,29.7,35.25,76.30
2014-05-07,C05,1,girdle,57,0.5138,37.7,17.83,81.92
2014-05-07,C07,6,control,42,1.1327,85.3,7.19,49.38
2014-05-07,C07,6,girdle,42,0.8510,67.4,12.85,68.81
2014-05-07,C07,1,control,43,1.0095,67.4,27.28,71.29
2014-05-07,C07,1,girdle,43,1.0987,66.3,23.84,79.82
2014-05-07,C09,1,girdle,53,0.3575,29.8,12.85,81.02
2014-05-07,C09,1,control,53,0.3723,28.5,15.52,97.90
2014-05-07,C09,6,control,64,0.4621,28.4,33.54,105.27
2014-05-07,C09,6,girdle,64,0.6486,48.0,23.65,74.72
