"Date","chamber","T_treatment","Water_treatment"
2012-12-12,"C01","ambient","control"
2012-12-12,"C02","elevated","control"
2012-12-12,"C03","ambient","control"
2012-12-12,"C04","elevated","control"
2012-12-12,"C05","ambient","control"
2012-12-12,"C06","elevated","control"
2012-12-12,"C07","ambient","control"
2012-12-12,"C08","elevated","control"
2012-12-12,"C09","ambient","control"
2012-12-12,"C10","elevated","control"
2012-12-12,"C11","ambient","control"
2012-12-12,"C12","elevated","control"
2012-12-12,"C13","reference","control"
2012-12-12,"C14","reference","control"
2012-12-12,"C15","reference","control"
2012-12-12,"C16","reference","control"
2012-12-12,"C17","reference","control"
2012-12-12,"C18","reference","control"
2012-12-13,"C01","ambient","control"
2012-12-13,"C02","elevated","control"
2012-12-13,"C03","ambient","control"
2012-12-13,"C04","elevated","control"
2012-12-13,"C05","ambient","control"
2012-12-13,"C06","elevated","control"
2012-12-13,"C07","ambient","control"
2012-12-13,"C08","elevated","control"
2012-12-13,"C09","ambient","control"
2012-12-13,"C10","elevated","control"
2012-12-13,"C11","ambient","control"
2012-12-13,"C12","elevated","control"
2012-12-13,"C13","reference","control"
2012-12-13,"C14","reference","control"
2012-12-13,"C15","reference","control"
2012-12-13,"C16","reference","control"
2012-12-13,"C17","reference","control"
2012-12-13,"C18","reference","control"
2012-12-14,"C01","ambient","control"
2012-12-14,"C02","elevated","control"
2012-12-14,"C03","ambient","control"
2012-12-14,"C04","elevated","control"
2012-12-14,"C05","ambient","control"
2012-12-14,"C06","elevated","control"
2012-12-14,"C07","ambient","control"
2012-12-14,"C08","elevated","control"
2012-12-14,"C09","ambient","control"
2012-12-14,"C10","elevated","control"
2012-12-14,"C11","ambient","control"
2012-12-14,"C12","elevated","control"
2012-12-14,"C13","reference","control"
2012-12-14,"C14","reference","control"
2012-12-14,"C15","reference","control"
2012-12-14,"C16","reference","control"
2012-12-14,"C17","reference","control"
2012-12-14,"C18","reference","control"
2012-12-15,"C01","ambient","control"
2012-12-15,"C02","elevated","control"
2012-12-15,"C03","ambient","control"
2012-12-15,"C04","elevated","control"
2012-12-15,"C05","ambient","control"
2012-12-15,"C06","elevated","control"
2012-12-15,"C07","ambient","control"
2012-12-15,"C08","elevated","control"
2012-12-15,"C09","ambient","control"
2012-12-15,"C10","elevated","control"
2012-12-15,"C11","ambient","control"
2012-12-15,"C12","elevated","control"
2012-12-15,"C13","reference","control"
2012-12-15,"C14","reference","control"
2012-12-15,"C15","reference","control"
2012-12-15,"C16","reference","control"
2012-12-15,"C17","reference","control"
2012-12-15,"C18","reference","control"
2012-12-16,"C01","ambient","control"
2012-12-16,"C02","elevated","control"
2012-12-16,"C03","ambient","control"
2012-12-16,"C04","elevated","control"
2012-12-16,"C05","ambient","control"
2012-12-16,"C06","elevated","control"
2012-12-16,"C07","ambient","control"
2012-12-16,"C08","elevated","control"
2012-12-16,"C09","ambient","control"
2012-12-16,"C10","elevated","control"
2012-12-16,"C11","ambient","control"
2012-12-16,"C12","elevated","control"
2012-12-16,"C13","reference","control"
2012-12-16,"C14","reference","control"
2012-12-16,"C15","reference","control"
2012-12-16,"C16","reference","control"
2012-12-16,"C17","reference","control"
2012-12-16,"C18","reference","control"
2012-12-17,"C01","ambient","control"
2012-12-17,"C02","elevated","control"
2012-12-17,"C03","ambient","control"
2012-12-17,"C04","elevated","control"
2012-12-17,"C05","ambient","control"
2012-12-17,"C06","elevated","control"
2012-12-17,"C07","ambient","control"
2012-12-17,"C08","elevated","control"
2012-12-17,"C09","ambient","control"
2012-12-17,"C10","elevated","control"
2012-12-17,"C11","ambient","control"
2012-12-17,"C12","elevated","control"
2012-12-17,"C13","reference","control"
2012-12-17,"C14","reference","control"
2012-12-17,"C15","reference","control"
2012-12-17,"C16","reference","control"
2012-12-17,"C17","reference","control"
2012-12-17,"C18","reference","control"
2012-12-18,"C01","ambient","control"
2012-12-18,"C02","elevated","control"
2012-12-18,"C03","ambient","control"
2012-12-18,"C04","elevated","control"
2012-12-18,"C05","ambient","control"
2012-12-18,"C06","elevated","control"
2012-12-18,"C07","ambient","control"
2012-12-18,"C08","elevated","control"
2012-12-18,"C09","ambient","control"
2012-12-18,"C10","elevated","control"
2012-12-18,"C11","ambient","control"
2012-12-18,"C12","elevated","control"
2012-12-18,"C13","reference","control"
2012-12-18,"C14","reference","control"
2012-12-18,"C15","reference","control"
2012-12-18,"C16","reference","control"
2012-12-18,"C17","reference","control"
2012-12-18,"C18","reference","control"
2012-12-19,"C01","ambient","control"
2012-12-19,"C02","elevated","control"
2012-12-19,"C03","ambient","control"
2012-12-19,"C04","elevated","control"
2012-12-19,"C05","ambient","control"
2012-12-19,"C06","elevated","control"
2012-12-19,"C07","ambient","control"
2012-12-19,"C08","elevated","control"
2012-12-19,"C09","ambient","control"
2012-12-19,"C10","elevated","control"
2012-12-19,"C11","ambient","control"
2012-12-19,"C12","elevated","control"
2012-12-19,"C13","reference","control"
2012-12-19,"C14","reference","control"
2012-12-19,"C15","reference","control"
2012-12-19,"C16","reference","control"
2012-12-19,"C17","reference","control"
