Measurement,DateTime,Days_since_transplanting,T_treatment,Water_treatment,chamber,Tree_number,Stem_number,Plant_height,Crown_width_NS,Crown_width_EW,1st_Order_Branches,2nd_Order_Branches,Total_Leaf_Number,0,15,30,65,95,130,160,190,220,250,280,310,340,370,400,430,460,490,520,550,580,610,640,670,700,730,760,790,820,850,880,910,940,Plant_Health,Insect_Damage,Comments
1,2012-11-29,-103,ambient,control,C01,64,1,37,,,0,,14,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Measured above the leaves
2,2012-12-12,-90,ambient,control,C01,64,1,43,,,2,,16,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Measured above the leaves
3,2012-12-24,-78,ambient,control,C01,64,1,66,,,4,,38,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
4,2013-01-03,-68,ambient,control,C01,64,1,79,,,8,,59,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
5,2013-01-14,-57,ambient,control,C01,64,1,96,,,11,,98,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
6,2013-02-04,-36,ambient,control,C01,64,1,118,,,14,,108,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
7,2013-02-18,-22,ambient,control,C01,64,1,127,,,18,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
8,2013-03-04,-8,ambient,control,C01,64,1,131,,,18,,,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
9,2013-03-19,7,ambient,control,C01,64,1,131,90,65,18,,227,,11.6,10.05,6.9,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Planted
10,2013-04-03,22,ambient,control,C01,64,1,132,90,70,18,,,,12.1,10.45,7.1,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Planted
11,2013-04-16,35,ambient,control,C01,64,1,135,90,70,18,,234,,13.3,11.5,7.8,4.75,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Planted
12,2013-04-30,49,ambient,control,C01,64,1,148,90,70,23,,,,15.15,13.4,9.3,6.1,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Planted
13,2013-05-14,63,ambient,control,C01,64,1,160,90,70,26,2,,,17.2,15.25,10.95,7.8,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
14,2013-05-28,77,ambient,control,C01,64,1,170,90,70,28,3,,,18.65,16.45,12.15,8.9,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
15,2013-06-13,93,ambient,control,C01,64,1,180,100,80,28,8,,,20.25,18,13.65,10.35,7.6,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
16,2013-06-26,106,ambient,control,C01,64,1,188,100,85,28,8,,,22.3,19.3,14.75,11.2,8.25,3.85,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
17,2013-07-10,120,ambient,control,C01,64,1,197,100,85,30,8,,,23.3,20.35,16,12.3,9.2,4.35,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
18,2013-07-23,133,ambient,control,C01,64,1,209,100,85,33,8,,,24.85,22.05,17.3,13.3,10.4,5.15,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
