"","date","time","chamber","TA","Null","CO2L","DiffP","TS","Null.1","SoilM","CO2Flow","CO2CChamb","DPCChamb","LCO2slope","ValveTime","CondWater","TBox","doorcnt"
"1","2014-02-12","00:00:10",1,-51.1,1,434.5,72.4,1,1,-7.1,0,434.5,20.6,0.9896376,0,4.66,28.1,0
"2","2014-02-12","00:00:10",2,-51.1,1,424.6,-5.3,1,1,-7.1,0,421.6,21.5,1.003841,0,0,28.1,0
"3","2014-02-12","00:00:10",3,22.7,1,418.1,82.4,1,1,-7.1,0,418,20.6,0.5104966,0,3.36,25.9,0
"4","2014-02-12","00:00:10",4,26.2,1,418.4,73.4,1,1,-7.1,0,419.2,22.3,1.013099,0,0,27.5,0
"5","2014-02-12","00:00:10",5,148.4,1,430.3,-10.6,1,1,-7.1,0,427.4,20.7,1.017218,0,4.6,27.6,0
"6","2014-02-12","00:00:10",6,25.4,1,420.6,76.3,1,1,-7.1,0,427.4,22,0.4867572,0,0,27.3,0
"7","2014-02-12","00:00:10",7,22.8,1,459.9,-13.1,1,1,-7.1,0,460.3,19.9,0.5020257,0,4.2,25.2,0
"8","2014-02-12","00:00:10",8,-51.1,1,431.6,75.2,1,1,-7.1,0,431,25.5,0.4784756,0,4.31,25.5,0
"9","2014-02-12","00:00:10",9,-51.1,1,417.7,-2.5,1,1,-7.1,0,416.9,20.1,0.9944625,0,0,25,0
"10","2014-02-12","00:00:10",10,25.2,1,410,-3.6,1,1,-7.1,0,408.6,21.7,1.035327,0,0,28,0
"11","2014-02-12","00:00:10",11,22.4,1,434.2,59.8,1,1,-7.1,0,434.5,20.1,1.014871,0,4.5,28.4,0
"12","2014-02-12","00:00:10",12,65.9,1,428.6,-4.3,1,1,-7.1,0,422.7,26,0.9898817,0,0,28,0
"13","2014-02-12","00:00:10",13,434.5,96.4,21.8,101.7,20.2,21.3,27,0,0.6,394.5,0,NA,NA,NA,NA
"14","2014-02-12","00:01:10",1,-51.1,1,434.5,72.4,1,1,-7.1,0,434.5,20.6,0.9896376,0,4.66,28,0
"15","2014-02-12","00:01:10",2,-51.1,1,424.6,-5.5,1,1,-7.1,0,421.6,21.5,1.003841,0,4.15,28.1,0
"16","2014-02-12","00:01:10",3,22.7,1,418.1,82.4,1,1,-7.1,0,418,20.6,0.5104966,0,3.36,25.9,0
