plot,pot,volume,coarseroot,fineroot,leafmass,stemmass,totalmass
1,1,10,5.72,9.40,2.40,8.84,26.36
1,2,15,8.27,9.46,4.45,9.20,31.38
1,4,20,4.89,9.26,4.77,8.54,27.46
1,5,1000,39.39,67.77,46.32,40.72,194.20
1,6,25,5.78,8.95,5.48,8.81,29.02
1,7,35,27.13,13.96,20.72,28.24,90.05
1,8,5,5.51,3.18,2.38,8.37,19.44
2,1,20,10.09,3.74,4.67,12.51,31.01
2,2,15,10.48,3.55,6.20,10.54,30.77
2,3,1000,44.76,50.43,52.43,50.89,198.51
2,4,25,12.96,10.34,8.01,14.38,45.69
2,5,5,5.57,2.58,2.69,6.99,17.83
2,6,35,4.75,6.56,5.71,7.36,24.38
2,7,10,8.22,4.62,3.97,10.00,26.81
3,1,5,3.68,2.36,2.40,5.75,14.19
3,2,1000,40.45,36.90,43.62,44.89,165.86
3,3,25,6.43,6.00,5.04,8.86,26.33
3,4,20,4.94,7.84,2.20,5.94,20.92
3,5,35,12.62,8.68,8.87,14.35,44.52
3,6,10,7.97,3.95,4.04,9.08,25.04
3,7,15,2.89,3.54,2.96,4.69,14.08
4,1,25,17.51,7.12,11.37,18.94,54.94
4,2,10,5.43,4.90,2.53,7.21,20.07
4,4,35,5.33,4.83,2.82,9.79,22.77
4,5,5,3.13,2.16,1.33,5.38,12.00
4,6,15,6.96,3.87,4.15,8.97,23.95
4,7,20,3.87,4.02,4.79,8.78,21.46
4,8,1000,35.07,55.73,52.34,51.65,194.79
5,2,25,5.08,6.13,3.16,7.17,21.54
5,3,10,3.29,2.39,2.13,4.38,12.19
5,4,15,4.85,3.56,3.58,7.62,19.61
5,5,20,6.62,4.87,3.48,6.42,21.39
5,6,1000,48.50,57.79,67.71,67.68,241.68
5,7,35,27.42,8.27,12.31,26.09,74.09
5,8,5,2.08,1.36,0.89,2.67,7.00
6,1,35,20.37,6.83,13.39,24.50,65.09
6,3,5,5.89,1.94,3.08,9.80,20.71
6,4,20,4.59,3.90,4.11,5.92,18.52
6,5,10,5.07,4.50,2.63,5.26,17.46
6,6,15,8.91,3.83,4.64,10.22,27.60
6,7,25,5.36,3.96,3.96,7.01,20.29
6,8,1000,23.45,40.23,27.10,32.46,123.24
7,1,15,9.46,4.09,7.37,9.70,30.62
7,2,1000,16.44,28.83,29.37,28.79,103.43
7,3,25,2.14,3.78,4.00,5.34,15.26
7,4,10,3.06,2.41,1.38,5.48,12.33
7,5,20,5.39,5.26,5.04,7.55,23.24
7,6,5,3.24,1.54,1.20,6.70,12.68
7,8,35,14.56,4.92,10.61,14.64,44.73
